id,title,description,availability,condition,price,link,image_link,brand,product_type,item_group_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
32135529,Hotel en la Paz L Fratelli Apart Hotel,Hotel en La Paz l Fratelli Apart Hotel from US$44,in stock,new,299.00 USD,https://www.estropical.com/en/idea/32135529/hotel-en-la-paz-l-fratelli-apart-hotel,https://joni-ia-agent.github.io/XML---Data-Feed/images/32135529.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,15 Oct 2025,16 Oct 2025,1 noches
54461951,Hotel en Santa Cruz L Hampton By Hilton 5*,Hotel en Santa Cruz l Hampton by Hilton 5* from US$44,in stock,new,299.00 USD,https://www.estropical.com/en/idea/54461951/hotel-en-santa-cruz-l-hampton-by-hilton-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/54461951.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,5 Dec 2026,6 Dec 2026,1 noches
53731420,Hotel en Santa Cruz | Hampton By Hilton 3*,Hotel en Santa Cruz | Hampton by Hilton 3* from US$44,in stock,new,299.00 USD,https://www.estropical.com/en/idea/53731420/hotel-en-santa-cruz-hampton-by-hilton-3-,https://joni-ia-agent.github.io/XML---Data-Feed/images/53731420.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,9 Nov 2026,10 Nov 2026,1 noches
50616555,Hotel en Cochabamba L Toloma Gran Hotel 4*,Hotel en Cochabamba l Toloma Gran Hotel 4* from US$45,in stock,new,299.00 USD,https://www.estropical.com/en/idea/50616555/hotel-en-cochabamba-l-toloma-gran-hotel-4-,https://joni-ia-agent.github.io/XML---Data-Feed/images/50616555.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,15 Dec 2026,16 Dec 2026,1 noches
32209698,Hotel en la Paz L Casa Grande Express,Hotel en La Paz l CASA GRANDE EXPRESS from US$46,in stock,new,299.00 USD,https://www.estropical.com/en/idea/32209698/hotel-en-la-paz-l-casa-grande-express,https://joni-ia-agent.github.io/XML---Data-Feed/images/32209698.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,6 Aug 2025,7 Aug 2025,1 noches
54461099,Hotel en la Paz L Casa Grande Express 4*,Hotel en La Paz l Casa Grande Express 4* from US$46,in stock,new,299.00 USD,https://www.estropical.com/en/idea/54461099/hotel-en-la-paz-l-casa-grande-express-4-,https://joni-ia-agent.github.io/XML---Data-Feed/images/54461099.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,5 Dec 2026,6 Dec 2026,1 noches
53092204,Boleto Solo Ida a Cochabamba Desde Oruro,Boleto SOLO IDA a Cochabamba desde Oruro from US$47,in stock,new,299.00 USD,https://www.estropical.com/en/idea/53092204/boleto-solo-ida-a-cochabamba-desde-oruro,https://joni-ia-agent.github.io/XML---Data-Feed/images/53092204.jpg?v=3,Estropical,Viajes > Vuelos > Internacional,VUELO-INTERNACIONAL,Vuelo,Internacional,26 Aug 2026,26 Aug 2026,
53567512,Fin de Semana Especial – Día de la Madre,FIN DE SEMANA  ESPECIAL – DÍA DE LA MADRE from US$47,in stock,new,299.00 USD,https://www.estropical.com/en/idea/53567512/fin-de-semana-especial-dia-de-la-madre,https://joni-ia-agent.github.io/XML---Data-Feed/images/53567512.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,,,
53730442,Hotel en Cochabamba | Gran Hotel Cochabamba 5*,Hotel en Cochabamba | Gran Hotel Cochabamba 5* from US$48,in stock,new,299.00 USD,https://www.estropical.com/en/idea/53730442/hotel-en-cochabamba-gran-hotel-cochabamba-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/53730442.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,10 Sep 2026,11 Sep 2026,1 noches
34377996,Hotel en Cochabamba L Casamagna 5*,Hotel en Cochabamba l CasaMagna 5* from US$50,in stock,new,299.00 USD,https://www.estropical.com/en/idea/34377996/hotel-en-cochabamba-l-casamagna-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/34377996.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,17 Sep 2025,18 Sep 2025,1 noches
32211456,Tarija | Hotel los Parrales 5*,Tarija | Hotel Los Parrales 5* from US$50,in stock,new,299.00 USD,https://www.estropical.com/en/idea/32211456/tarija-hotel-los-parrales-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/32211456.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,6 Aug 2025,7 Aug 2025,1 noches
32447037,Tarija L Full Day Ruta del Vino y Singani,Tarija l Full Day Ruta del Vino y Singani from US$51,in stock,new,51.00 USD,https://www.estropical.com/en/idea/32447037/tarija-l-full-day-ruta-del-vino-y-singani,https://joni-ia-agent.github.io/XML---Data-Feed/images/32447037.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,20 Dec 2025,21 Dec 2025,
32446956,Tarija L Ruta del Vino y Singani - Bodegas Industriales,Tarija l Ruta del Vino y Singani - Bodegas Industriales from US$51,in stock,new,51.00 USD,https://www.estropical.com/en/idea/32446956/tarija-l-ruta-del-vino-y-singani-bodegas-industriales,https://joni-ia-agent.github.io/XML---Data-Feed/images/32446956.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,20 Dec 2025,21 Dec 2025,
54460647,Hotel en Cochabamba L Camino Plaza 5*,Hotel en Cochabamba l Camino Plaza 5* from US$51,in stock,new,51.00 USD,https://www.estropical.com/en/idea/54460647/hotel-en-cochabamba-l-camino-plaza-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/54460647.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,5 Dec 2026,6 Dec 2026,1 noches
54461195,Hotel en la Paz L Rennova 4*,Hotel en La Paz l Rennova 4* from US$52,in stock,new,52.00 USD,https://www.estropical.com/en/idea/54461195/hotel-en-la-paz-l-rennova-4-,https://joni-ia-agent.github.io/XML---Data-Feed/images/54461195.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,5 Dec 2026,6 Dec 2026,1 noches
54461303,Hotel en la Paz L Mitru Sur 5*,Hotel en La Paz l Mitru Sur 5* from US$55,in stock,new,55.00 USD,https://www.estropical.com/en/idea/54461303/hotel-en-la-paz-l-mitru-sur-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/54461303.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,5 Dec 2026,6 Dec 2026,1 noches
30630489,Hotel en la Paz L Suites Camino Real 5*,Hotel en La Paz l Suites Camino Real 5* from US$57,in stock,new,57.00 USD,https://www.estropical.com/en/idea/30630489/hotel-en-la-paz-l-suites-camino-real-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/30630489.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,16 Oct 2025,17 Oct 2025,1 noches
53654245,Boleto Solo Ida a Cochabamba Desde Santa Cruz,Boleto SOLO IDA a Cochabamba desde Santa Cruz from US$57,in stock,new,57.00 USD,https://www.estropical.com/en/idea/53654245/boleto-solo-ida-a-cochabamba-desde-santa-cruz,https://joni-ia-agent.github.io/XML---Data-Feed/images/53654245.jpg?v=3,Estropical,Viajes > Vuelos > Internacional,VUELO-INTERNACIONAL,Vuelo,Internacional,10 Oct 2026,10 Oct 2026,
